order_item_id,order_id,product_id,quantity,unit_price
1,1,377,1,58.61
2,1,810,2,162.66
3,1,10,1,38.76
4,2,487,1,45.19
5,2,344,1,9.38
6,3,958,1,8.63
7,3,197,1,24.55
8,4,822,2,31.66
9,4,568,1,26.36
10,4,769,2,99.96
11,5,383,2,112.3
12,6,315,2,31.3
13,6,364,4,1.88
14,7,325,1,11.1
15,7,887,1,31.83
16,8,639,1,25.26
17,8,828,1,39.44
18,8,141,3,19.72
19,9,886,3,5.26
20,9,245,1,67.16
21,9,564,1,47.9
22,10,948,1,21.03
23,10,380,2,39.77
24,11,480,2,52.0
25,11,744,2,13.7
26,11,352,3,19.4
27,11,932,1,976.52
28,12,205,1,401.73
29,12,596,1,4.06
30,13,402,1,4.29
31,13,864,5,18.16
32,13,543,1,21.19
33,14,673,4,5.29
34,15,532,1,6.65
35,16,1000,1,2.53
36,16,288,1,1.15
37,17,317,1,6.55
38,18,825,3,277.91
39,18,202,1,60.09
40,18,970,1,54.49
41,18,617,1,1482.03
42,18,888,1,7.85
43,19,132,1,47.79
44,20,580,2,825.66
45,20,581,2,4.68
46,21,718,1,49.8
47,21,11,1,46.05
48,21,28,3,39.67
49,21,134,2,27.85
50,22,135,2,176.99
51,22,59,4,78.59
52,23,980,1,56.04
53,23,887,1,31.83
54,24,135,1,176.99
55,24,90,1,37.3
56,25,505,1,111.27
57,26,737,1,9.84
58,26,248,3,23.91
59,27,310,1,41.75
60,27,79,3,5.87
61,27,910,1,27.64
62,27,690,1,542.07
63,28,100,1,29.82
64,29,554,2,23.51
65,29,342,3,5.31
66,29,569,2,30.5
67,30,425,2,19.57
68,30,387,5,3.81
69,31,516,3,32.53
70,31,539,1,52.05
71,31,550,1,37.84
72,31,956,3,11.31
73,32,425,4,19.57
74,33,300,2,9.34
75,33,570,1,33.25
76,33,952,2,20.46
77,34,539,1,52.05
78,34,369,2,83.31
79,34,860,1,33.73
80,35,968,2,81.44
81,36,788,1,93.27
82,37,352,1,19.4
83,37,548,5,24.1
84,38,37,1,67.09
85,39,724,1,981.53
86,40,764,3,19.57
87,41,992,2,30.03
88,42,91,1,2.35
89,42,728,1,13.94
90,43,178,2,8.1
91,43,97,1,42.48
92,44,846,3,7.94
93,44,801,1,11.36
94,45,828,1,39.44
