order_id,customer_id,order_date,total_amount,status,shipping_cost
1,8658,2025-08-12,422.69,Shipped,0.0
2,1965,2025-06-21,54.57,Completed,0.0
3,5568,2025-09-02,41.17,Completed,7.99
4,5280,2025-06-09,289.6,Completed,0.0
5,2361,2024-11-22,224.6,Completed,0.0
6,2040,2025-04-16,70.12,Completed,0.0
7,1185,2025-03-26,42.93,Cancelled,0.0
8,3935,2025-07-09,123.86,Shipped,0.0
9,5795,2025-08-01,130.84,Completed,0.0
10,8173,2024-12-05,100.57,Completed,0.0
11,778,2025-05-08,1166.12,Completed,0.0
12,3380,2024-12-28,405.79,Completed,0.0
13,2419,2024-08-24,116.28,Completed,0.0
14,4078,2025-04-13,21.16,Completed,0.0
15,2440,2024-10-15,14.64,Completed,7.99
16,7805,2025-08-21,3.68,Completed,0.0
17,5270,2024-11-26,12.54,Completed,5.99
18,5588,2024-09-16,2438.19,Completed,0.0
19,1990,2025-08-04,47.79,Completed,0.0
20,7869,2025-08-05,1660.68,Completed,0.0
21,9259,2025-07-23,270.56,Completed,0.0
22,945,2025-04-09,668.34,Completed,0.0
23,8221,2024-06-19,87.87,Completed,0.0
24,1898,2025-01-11,214.29,Completed,0.0
25,5752,2025-07-15,111.27,Completed,0.0
26,5151,2024-06-11,81.57,Completed,0.0
27,1698,2024-07-31,629.07,Completed,0.0
28,5886,2025-03-11,35.81,Shipped,5.99
29,1666,2025-08-20,123.95,Completed,0.0
30,9763,2024-03-10,58.19,Completed,0.0
31,9926,2025-07-18,221.41,Completed,0.0
32,8952,2025-04-18,78.28,Completed,0.0
33,9544,2025-03-14,92.85,Shipped,0.0
34,9461,2025-04-26,252.4,Pending,0.0
35,1786,2025-03-26,162.88,Completed,0.0
36,5949,2025-01-24,93.27,Shipped,0.0
37,2608,2024-05-21,139.9,Shipped,0.0
38,8591,2025-09-05,67.09,Shipped,0.0
39,2631,2025-02-21,981.53,Completed,0.0
40,7661,2024-07-12,58.71,Completed,0.0
41,9862,2023-12-27,60.06,Completed,0.0
42,239,2024-06-10,22.28,Cancelled,5.99
43,3537,2024-07-23,58.68,Shipped,0.0
44,3862,2025-03-11,35.18,Completed,0.0
45,9339,2025-07-03,285.09,Pending,0.0
46,9750,2025-04-02,653.87,Cancelled,0.0
47,8492,2025-03-20,1277.58,Completed,0.0
48,7900,2025-08-30,84.1,Completed,0.0
49,7146,2025-06-06,425.97,Cancelled,0.0
50,5862,2024-04-15,49.94,Completed,0.0
51,249,2025-04-16,430.33,Completed,0.0
52,4324,2024-03-24,35.15,Completed,5.99
53,7102,2025-04-26,134.51,Completed,0.0
54,2861,2025-05-19,107.7,Completed,0.0
55,724,2025-05-13,46.36,Shipped,0.0
56,570,2025-08-05,1654.34,Completed,0.0
57,8412,2025-06-18,67.94,Completed,0.0
58,9587,2025-06-25,52.17,Shipped,0.0
59,2835,2024-09-14,26.97,Completed,7.99
60,7929,2023-12-13,705.25,Cancelled,0.0
61,6672,2024-10-02,18.23,Completed,4.99
62,2123,2025-02-05,79.46,Shipped,0.0
63,4001,2024-12-09,248.97,Completed,0.0
64,3090,2025-03-13,45.38,Completed,0.0
65,7166,2025-01-03,16.05,Shipped,4.99
66,7211,2024-11-04,36.87,Completed,4.99
67,50,2024-10-20,55.3,Completed,0.0
68,515,2024-03-04,54.49,Completed,0.0
69,4672,2025-01-21,86.58,Completed,0.0
70,7750,2025-07-27,5.27,Completed,0.0
71,1166,2025-08-28,133.04,Cancelled,0.0
72,415,2025-04-18,22.03,Completed,4.99
73,1105,2024-06-03,285.56,Shipped,0.0
74,4859,2023-11-02,214.48,Completed,0.0
75,3357,2023-12-01,91.95,Cancelled,0.0
76,2417,2025-03-06,3602.47,Completed,0.0
77,5612,2025-08-15,9.67,Completed,5.99
78,5466,2025-02-13,115.46,Completed,0.0
79,8396,2025-04-14,54.49,Shipped,0.0
80,7193,2025-03-29,50.82,Completed,0.0
81,5673,2025-09-04,302.66,Shipped,0.0
82,8261,2025-04-11,1293.86,Shipped,0.0
83,8708,2024-11-26,94.02,Completed,0.0
84,3564,2023-12-07,10.34,Shipped,7.99
85,6384,2025-05-11,516.85,Completed,0.0
86,9657,2025-07-23,41.79,Completed,7.99
87,9845,2024-02-17,3431.72,Completed,0.0
88,8899,2024-10-22,575.92,Shipped,0.0
89,9818,2024-06-04,86.68,Completed,0.0
90,6834,2025-09-06,36.42,Completed,5.99
91,4753,2023-10-11,6267.59,Completed,0.0
92,8124,2023-12-05,131.86,Pending,0.0
93,3786,2023-12-11,50.38,Completed,0.0
94,9538,2025-01-31,23.07,Completed,0.0
95,8536,2025-04-26,41.36,Completed,7.99
96,8728,2025-02-06,137.18,Completed,0.0
97,8547,2023-12-07,42.75,Completed,7.99
98,5024,2025-01-24,274.02,Completed,0.0
99,983,2025-04-25,61.86,Completed,0.0
100,1346,2025-08-13,169.29,Completed,0.0
101,5692,2025-08-24,1100.4,Completed,0.0
102,6003,2024-10-31,27.68,Pending,0.0
103,527,2025-07-06,291.42,Completed,0.0
104,6648,2024-10-12,58.68,Completed,0.0
105,7253,2024-02-15,43.5,Completed,0.0
106,931,2025-01-27,16.12,Cancelled,6.99
107,2283,2025-08-10,18.84,Shipped,6.99
108,1947,2025-06-27,311.83,Completed,0.0
109,3361,2024-11-17,84.37,Completed,0.0
110,9786,2024-08-28,107.74,Completed,0.0
111,8113,2024-05-31,41.9,Shipped,6.99
112,2926,2025-09-02,62.34,Completed,0.0
113,3626,2025-06-02,100.26,Completed,0.0
114,5470,2025-05-06,246.05,Completed,0.0
115,1224,2024-08-05,413.47,Completed,0.0
116,7111,2024-11-22,60.85,Completed,0.0
117,9158,2025-04-30,179.11,Pending,0.0
118,4993,2024-09-01,17.05,Completed,6.99
119,8815,2025-06-21,75.67,Shipped,0.0
120,4788,2025-05-29,147.24,Completed,0.0
121,6819,2025-06-13,226.52,Pending,0.0
122,4727,2025-08-14,124.3,Completed,0.0
123,2373,2025-02-10,9.02,Completed,0.0
124,3300,2024-05-16,152.82,Completed,0.0
125,9361,2024-09-27,4.02,Completed,0.0
126,6452,2024-12-20,1012.3,Completed,0.0
127,8584,2025-02-01,48.28,Shipped,0.0
128,3810,2025-05-26,11.41,Completed,7.99
129,2408,2025-02-05,697.95,Completed,0.0
130,4865,2024-09-07,848.78,Shipped,0.0
131,5028,2024-10-12,7.76,Shipped,0.0
132,4261,2025-06-10,219.65,Completed,0.0
133,4829,2024-09-24,967.3,Cancelled,0.0
134,8773,2025-08-21,1746.78,Completed,0.0
135,9013,2025-05-25,265.87,Completed,0.0
136,9440,2025-08-09,24.19,Completed,7.99
137,8316,2025-01-15,50.16,Completed,0.0
138,1875,2025-01-12,237.22,Completed,0.0
139,8716,2024-12-20,114.76,Shipped,0.0
140,3124,2025-06-07,199.89,Completed,0.0
141,4225,2025-08-31,18.68,Completed,4.99
142,5255,2024-05-03,21.52,Shipped,4.99
143,3199,2024-07-29,410.18,Pending,0.0
144,7083,2025-09-02,88.67,Completed,0.0
145,1211,2025-02-18,362.24,Shipped,0.0
146,9219,2025-09-03,33.84,Cancelled,6.99
147,5405,2024-06-05,91.34,Completed,0.0
148,4118,2025-09-09,169.43,Completed,0.0
149,5430,2025-06-28,263.32,Completed,0.0
150,8690,2024-05-30,597.06,Completed,0.0
151,9886,2025-06-15,103.09,Completed,0.0
152,4759,2025-07-13,281.73,Pending,0.0
